tiempo	presion	sonido	sonido rectificado y amplificado
0	10,5469	0,0566101	3,550762625
0,001	10,5469	0,0508118	3,319157117
0,002	10,5225	0,0291443	3,082267313
0,003	10,5225	0,0149536	2,869607734
0,004	10,5225	0,0169373	2,69052795
0,005	10,5225	0,0112915	2,513163207
0,006	10,5225	-0,00579834	2,332637568
0,007	10,5225	-0,00411987	2,186915078
0,008	10,5225	0,00366211	2,057977989
0,009	10,5225	-0,00442505	1,917305831
0,01	10,5225	-0,0109863	1,787379753
0,011	10,5225	-0,0157166	1,667905859
0,012	10,5225	-0,0283813	1,546020731
0,013	10,5225	-0,0521851	1,417869997
0,014	10,5225	-0,0796509	1,29319371
0,015	10,5225	-0,0836182	1,205724191
0,016	10,5225	-0,0567627	1,162279044
0,017	10,5225	-0,0224304	1,130909636
0,018	10,5225	0,0102234	1,0994131
0,019	10,5225	0,0434875	1,070658426
0,02	10,5225	0,063324	1,026925961
0,021	10,5225	0,0605774	0,957712413
0,022	10,5225	0,0457764	0,87777968
0,023	10,5225	0,0364685	0,809735644
0,024	10,5225	0,0398254	0,761797941
0,025	10,5225	0,0360107	0,707907753
0,026	10,5225	0,0100708	0,629747085
0,027	10,5225	-0,0231934	0,547342021
0,028	10,5225	-0,0436401	0,486136496
0,029	10,5225	-0,04776	0,449185127
0,03	10,5225	-0,0375366	0,432484606
0,031	10,5225	-0,0270081	0,417214785
0,032	10,5225	-0,0238037	0,39374927
0,033	10,5225	-0,0183105	0,374619136
0,034	10,5225	-0,00564575	0,365655422
0,035	10,5225	0,0125122	0,364121415
0,036	10,5225	0,0300598	0,361920855
0,037	10,5225	0,0273132	0,33449081
0,038	10,5225	0,00793457	0,287994208
0,039	10,5225	-0,015564	0,239269148
0,04	10,5225	-0,0331116	0,201044287
0,041	10,5225	-0,0335693	0,18658354
0,042	10,5225	-0,0224304	0,187527138
0,043	10,5225	-0,0100708	0,189937324
0,044	10,5225	0,000915527	0,190479481
0,045	10,5225	0,00488281	0,182213769
0,046	10,5225	0,0088501	0,174467416
0,047	10,5225	0,0213623	0,177888918
0,048	10,5225	0,0372314	0,185291565
0,049	10,5225	0,0494385	0,187651591
0,05	10,5225	0,0512695	0,176893207
0,051	10,5225	0,0440979	0,155557542
0,052	10,5225	0,0361633	0,134608686
0,053	10,5225	0,0280762	0,114785461
0,054	10,5225	0,0125122	0,086861641
0,055	10,5225	0,00198364	0,066986626
0,056	10,5225	-0,00411987	0,053891707
0,057	10,5225	-0,0123596	0,038949292
0,058	10,5225	-0,0177002	0,028569649
0,059	10,5225	-0,0201416	0,022466178
0,06	10,5225	-0,0256348	0,012931449
0,061	10,5225	-0,0382996	0
0,062	10,5225	-0,0552368	0
0,063	10,5225	-0,0540161	0
0,064	10,5225	-0,0288391	0,006678925
0,065	10,5225	0,00198364	0,043531063
0,066	10,5225	0,0413513	0,088748864
0,067	10,5225	0,0709534	0,118918596
0,068	10,5225	0,0679016	0,106375334
0,069	10,5225	0,0378418	0,060860187
0,07	10,5225	-0,0180054	0
0,071	10,5225	-0,0704956	0,040017302
0,072	10,5225	-0,063324	0,027281803
0,073	10,5225	-0,00930786	0,003209175
0,074	10,5225	0,0183105	0,03627385
0,075	10,5225	0,00259399	0,013092422
0,076	10,5225	0,00259399	0,011013164
0,077	10,5225	0,0263977	0,038819187
0,078	10,5225	0,01297	0,018338843
0,079	10,5225	-0,0450134	0,016549307
0,08	10,5225	-0,142975	0,136704847
0,081	10,5225	-0,207214	0,207157541
0,082	10,5225	-0,108337	0,069288562
0,083	10,5225	0,123291	0,185856604
0,084	10,5225	0,245514	0,325701002
0,085	10,5225	0,162964	0,200792468
0,086	10,5225	0,0511169	0,047110793
0,087	10,498	0,0482178	0,039270222
0,088	10,498	0,134735	0,143692664
0,089	10,498	0,20462	0,220763801
0,09	10,498	0,187836	0,184656165
0,091	10,498	0,0810242	0,038282489
0,092	10,498	-0,0552368	0,095705758
0,093	10,498	-0,176392	0,239879751
0,094	10,498	-0,266876	0,336656024
0,095	10,498	-0,34317	0,409614165
0,096	10,498	-0,378418	0,426680711
0,097	10,5225	-0,334778	0,344064934
0,098	10,5225	-0,220642	0,17852006
0,099	10,5225	-0,0801086	0
0,1	10,5225	0,0657654	0,152614763
0,101	10,5225	0,196381	0,305038558
0,102	10,5225	0,299683	0,413743283
0,103	10,5225	0,356598	0,457634139
0,104	10,5225	0,361938	0,434298501
0,105	10,5225	0,31723	0,349869084
0,106	10,5225	0,223999	0,210090774
0,107	10,5225	0,0874329	0,024926119
0,108	10,5225	-0,0508118	0,110702547
0,109	10,5225	-0,147858	0,223798014
0,11	10,5225	-0,196686	0,269514733
0,111	10,5225	-0,202332	0,258381486
0,112	10,5225	-0,183563	0,217429011
0,113	10,5225	-0,140533	0,148723406
0,114	10,5225	-0,0660706	0,045044202
0,115	10,5225	0,00717163	0,010595433
0,116	10,5225	0,0442505	0,055021653
0,117	10,5225	0,0611877	0,071479404
0,118	10,5225	0,0724792	0,079845958
0,119	10,5225	0,0830078	0,086733202
